SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Azure Compute,Remove Windows VM Availability Sets,Azure Services: Windows VM,How to remove Windows VM availability set,As Required,,,,,
Azure Compute,Create Windows VM Storage,Azure Services: Windows VM,,As Required,,,,,
Azure Compute,Configure Windows VM Storage,Azure Services: Windows VM,,As Required,,,,,
Azure Compute,Remove Windows VM Storage,Azure Services: Windows VM,,As Required,,,,,
Azure Compute,Configure Windows VM Backup,Azure Services: Windows VM,How to back up and restore files for Windows virtual machines in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-backup-vms
Azure Compute,Monitor Windows VM,Azure Services: Windows VM,How to monitor a Windows virtual machine in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-monitoring
Azure Compute,Secure Windows VM with SSL,Azure Services: Windows VM,How to secure a web server on a Windows virtual machine in Azure with SSL certificates stored in Key Vault,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-secure-web-server
Azure Compute,Patch Windows VM,Azure Services: Windows VM,How to update a Windows virtual machine in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/tutorial-config-management#manage-windows-updates
Azure Compute,Decommission Windows VM,Azure Services: Windows VM,,As Required,,,,,
Azure Compute,Modify Windows VM Type,Azure Services: Windows VM,How to resize a Windows VM,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/resize-vm
Azure Compute,Create and manage a scale set,Azure Services: VM Scale Sets,How to create and manage a virtual machine scale set with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/tutorial-create-and-manage-cli
Azure Compute,Create and use data disks,Azure Services: VM Scale Sets,How to create and use disks with virtual machine scale set with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/tutorial-use-disks-cli
Azure Compute,Create and use a custom VM image,Azure Services: VM Scale Sets,How to create and use a custom image for virtual machine scale sets with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/tutorial-use-custom-image-cli
Azure Compute,Deploy apps to a scale set,Azure Services: VM Scale Sets,How to install applications in virtual machine scale sets with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/tutorial-install-apps-cli
Azure Compute,Autoscale a scale set,Azure Services: VM Scale Sets,how to automatically scale a virtual machine scale set with the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/virtual-machine-scale-sets/tutorial-autoscale-cli
Azure Containers,Deploy an Azure Container Service (AKS) cluster,Azure Services: Azure Container Services,How to deploy an Azure Kubernetes Service (AKS) cluster using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/aks/kubernetes-walkthrough-portal
Azure Containers,Scale an Azure Container Service (AKS) cluster,Azure Services: Azure Container Services,How to Scale applications in Azure Kubernetes Service (AKS),As Required,,,,,https://docs.microsoft.com/en-us/azure/aks/tutorial-kubernetes-scale
Azure Containers,Upgrade Azure Container Service (AKS) cluster,Azure Services: Azure Container Services,how to upgrade Kubernetes in Azure Kubernetes Service (AKS),As Required,,,,,https://docs.microsoft.com/en-us/azure/aks/tutorial-kubernetes-upgrade-cluster
Azure Containers,Monitor Azure Container Service (AKS),Azure Services: Azure Container Services,How to monitor containers,,,,,,https://docs.microsoft.com/en-us/azure/monitoring/monitoring-container-health
Azure Containers,"Manage Applications (Run, Scale and Update) in Azure Container Service (AKS)",Azure Services: Azure Container Services,"How to Run, Scale and update application in Azure Kubernetes Service (AKS)",As Required,,,,,https://docs.microsoft.com/en-us/azure/aks/tutorial-kubernetes-deploy-application https://docs.microsoft.com/en-us/azure/aks/tutorial-kubernetes-scale https://docs.microsoft.com/en-us/azure/aks/tutorial-kubernetes-app-update
Azure Containers,Create an Azure Container Registry,Azure Services: Azure Container Registry,How to create a private container registry using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-get-started-portal
Azure Containers,Push image to a container registry,Azure Services: Azure Container Registry,How to push an updated container image,As Required,,,,,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-tutorial-deploy-update
Azure Containers,Create a container in Azure Container Instances,Azure Services: Azure Container Instances,How to create a container instance in Azure using the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/container-instances/container-instances-quickstart#create-a-container
Azure Containers,Deploy a container to Azure Container Instances,Azure Services: Azure Container Instances,How to deploy a container instance in Azure using the Azure CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/container-instances/container-instances-quickstart
Azure Containers,Troubleshoot deployment issues with Azure Container Instances,Azure Services: Azure Container Instances,How to troubleshoot common issues in Azure Container Instances,As Required,,,,,https://docs.microsoft.com/en-us/azure/container-instances/container-instances-troubleshooting
Azure Containers,Create web app in Azure App Service,Azure Services: App Services,How to create a web app in an App Service Environment v1,As Required,,,,,https://docs.microsoft.com/en-us/azure/app-service/environment/app-service-web-how-to-create-a-web-app-in-an-ase
Azure Containers,Configure web apps in Azure App Service,Azure Services: App Services,How to configure an App Service app in the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/app-service/web-sites-configure
Azure Containers,Deploy app to Azure App Service,Azure Services: App Services,How to Deploy your app to Azure App Service with a ZIP or WAR file,As Required,,,,,https://docs.microsoft.com/en-us/azure/app-service/app-service-deploy-zip
Azure Containers,Scale up an app in Azure,Azure Services: App Services,How to scale up an app in Azure App Service,As Required,,,,,https://docs.microsoft.com/en-us/azure/app-service/web-sites-scale
Azure Containers,Monitor Apps in Azure App Service,Azure Services: App Services,,,,,,,https://docs.microsoft.com/en-us/azure/app-service/web-sites-monitor#monitoring-quotas-and-metrics-in-the-azure-portal
Azure Containers,Back up your app in Azure,Azure Services: App Services,how to back up your app in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/app-service/web-sites-backup
Azure Containers,Restore an app in Azure,Azure Services: App Services,How to restore an app in Azure,As Required,,,,,https://docs.microsoft.com/en-us/azure/app-service/web-sites-restore
Azure Containers,Move an Azure Web App to another resource group,Azure Services: App Services,How to move resources to a new resource group or subscription,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-resource-manager/resource-group-move-resources
Azure Containers,Create a Batch account with the Azure portal,Azure Services: Batch,How to create a Batch account with the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/batch/batch-account-create-portal
Azure Containers,Upload the data files that you want to process ,Azure Services: Batch,How to Develop large-scale parallel compute solutions with Batch,As Required,,,,,https://docs.microsoft.com/en-us/azure/batch/batch-api-basics
Azure Containers,Upload the application files that your tasks will run,Azure Services: Batch,How to upload and manage applications,As Required,,,,,https://docs.microsoft.com/en-us/azure/batch/batch-application-packages#upload-and-manage-applications
Azure Containers,Create a pool of compute nodes,Azure Services: Batch,How to create a pool of compute nodes,As Required,,,,,hthttps://docs.microsoft.com/en-us/azure/batch/batch-api-basics#pooltps://docs.microsoft.com/en-us/azure/batch/batch-api-basics
Azure Containers,Create a job and Add tasks to the job,Azure Services: Batch,,As Required,,,,,https://docs.microsoft.com/en-us/azure/batch/batch-api-basics
Azure Containers,Monitor job progress and retrieve the task output from Azure Storage,Azure Services: Batch,,As Required,,,,,https://docs.microsoft.com/en-us/azure/batch/batch-api-basics
Azure Containers,Set up the Service Fabric CLI,Azure Services: Service Fabric,How to set up Azure Service Fabric in CLI,As Required,,,,,https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-cli
Azure Containers,Create a Service Fabric cluster ,Azure Services: Service Fabric,How to create a Service Fabric cluster in Azure using the Azure portal,As Required,,,,,https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-cluster-creation-via-portal
Azure Containers,Scale Service Fabric cluster ,Azure Services: Service Fabric,How to scale a cluster in or out,As Required,,,,,https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-cluster-scale-up-down
Azure Containers,Upgrade an Azure Service Fabric cluster,Azure Services: Service Fabric,,As Required,,,,,https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-cluster-upgrade
Azure Containers,Manage application lifecycle,Azure Services: Service Fabric,"Package, Deploy, Upgrade and Test applications",As Required,,,,,https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-application-lifecycle
Azure Containers,Patch the Windows OS in Service Fabric cluster,Azure Services: Service Fabric,Using patch orchestration application that automates operating system patching on a Service Fabric cluster without downtime.,As Required,,,,,https://docs.microsoft.com/en-us/azure/service-fabric/service-fabric-patch-orchestration-application
Azure Containers,Monitor Service Fabric,Azure Services: Service Fabric,Monitor containers Azure Monitoring,As Required,,,,,https://docs.microsoft.com/en-us/azure/azure-monitor/insights/container-insights-overview
Azure Data & Analytics,Create Machine Learning Environment,Data & Analytics: Machine Learning,How to create and manage Azure Machine Learning environments,As Required,,,,,https://docs.microsoft.com/en-us/azure/machine-learning/service/how-to-use-environments
Azure Data & Analytics,Configure compute environment,Data & Analytics: Machine Learning,Configuring Azure Machine Learning Experimentation Service,As Required,,,,,https://docs.microsoft.com/en-us/azure/machine-learning/service/tutorial-1st-experiment-sdk-setup
Azure Data & Analytics,Prepare the data,Data & Analytics: Machine Learning,Create a new project and data preparation package,As Required,,,,,https://docs.microsoft.com/en-us/dotnet/api/overview/data-prep/overview-data-prep
Azure Data & Analytics,Develop model,Data & Analytics: Machine Learning,How to build and deploy models with Azure ML,As Required,,,,,https://docs.microsoft.com/en-us/azure/machine-learning/service/how-to-deploy-and-where
Azure Data & Analytics,Operationalize model,Data & Analytics: Machine Learning," how to set up model management, scale clusters and services",As Required,,,,,https://docs.microsoft.com/en-us/machine-learning-server/what-is-operationalization
Azure Database,SQL DB - Business Continuity,SQL Database,Configure / restore from Azure SQL Database long-term backup retention,As Required,,,,,
Azure Database,SQL DB - Business Continuity,SQL Database,Configure active geo-replication for Azure SQL Database,As Required,,,,,
Azure Database,SQL DB - Business Continuity,SQL Database,Geo-replication - Initiate failover,As Required,,,,,
Azure Database,SQL DB - Business Continuity,SQL Database,Geo-replication - Remove secondary database,As Required,,,,,
Azure Database,SQL DB - Business Continuity,SQL Database,Restore a single table from an Azure SQL Database backup,As Required,,,,,
Azure Database,SQL DB - Create/Delete,SQL Database,Create a SQL database,As Required,,,,,
Azure Database,SQL DB - Create/Delete,SQL Database,Create a server-level firewall rule,As Required,,,,,
Azure Database,SQL DB - Create/Delete,SQL Database,Clean up resources,As Required,,,,,
Azure Database,SQL DB - Load and Move Data,SQL Database,Load data from CSV into Azure SQL Database (flat files),As Required,,,,,
Azure Database,SQL DB - Load and Move Data,SQL Database,Copy data from Blob Storage to SQL Database using Data Factory,As Required,,,,,
Azure Database,SQL DB - Load and Move Data,SQL Database,Configure Azure SQL Data Sync with SQL Server instances,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Manage performance recommendations,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Query Performance Insight,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Enable automatic tuning,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Monitoring Azure SQL Database using dynamic management views,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,create alerts for Azure SQL Database and Data Warehouse,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Configure extended events in SQL Database using event file,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Configure extended events in SQL Database using ring buffer,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Enable logging,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Stream SQL Database metrics and  Diagnostic Log into Log Analytics,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Stream SQL Database metrics and  Diagnostic Log into Azure Event Hub,As Required,,,,,
Azure Database,SQL DB - Monitor and Tune,SQL Database,Stream SQL Database metrics and  Diagnostic Log into Azure Storage,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Create an Azure AD administrator for Azure SQL server,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Provision an Entra ID administrator for your Azure SQL server,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Configure Conditionnal Access for Azure SQL DB/DW,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Configure  SQL Database Always Encrypted,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Set up dynamic data masking for your database,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Configure multi-factor authentication,As Required,,,,,
Azure Database,SQL DB - Security,SQL Database,Create and manage firewall rules,As Required,,,,,
Azure Database,Single Server,Azure Database for PostgreSQL,Create a Server and firewall rule,As Required,,,,,
Azure Database,Single Server,Azure Database for PostgreSQL,Scale a Server,As Required,,,,,
Azure Database,Single Server,Azure Database for PostgreSQL,Change Server configurations,As Required,,,,,
Azure Database,Single Server,Azure Database for PostgreSQL,Restore a Server,As Required,,,,,
Azure Database,Single Server,Azure Database for PostgreSQL,Enable and download server logs,As Required,,,,,
Azure Developer Tools,Import and publish your first API,Azure Services: API Management,How to import and publish  API,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/import-and-publish
Azure Developer Tools,Create and publish a product,Azure Services: API Management,How to create and publish a product,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-add-products
Azure Developer Tools,Mock API responses,Azure Services: API Management,How to mock API responses,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/mock-api-responses
Azure Developer Tools,protect your API,Azure Services: API Management,How to transform and protect your API,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/transform-api
Azure Developer Tools,Monitor published APIs,Azure Services: API Management,How to monitor published APIs,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-use-azure-monitor
Azure Developer Tools,Publish multiple versions of your API,Azure Services: API Management,How to publish multiple versions of an API,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/api-management-get-started-publish-versions
Azure Developer Tools,Use revisions to make non-breaking changes safely,Azure Services: API Management,How to use revisions to make non-breaking changes safely,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/api-management-get-started-revise-api
Azure Developer Tools,Customize the style of the Developer portal pages,Azure Services: API Management,How to customize the style of the developer portal pages,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/api-management-customize-styles
Azure Developer Tools,Debug your APIs using request tracing,Azure Services: API Management,How to debug your APIs using request tracing,As Required,,,,,https://docs.microsoft.com/en-us/azure/api-management/api-management-howto-api-inspector
Azure DevOps,"
Choose Scrum if your team practices Scrum. This process works great if you want to track product backlog items (PBIs) and bugs on the Kanban board, or break PBIs and bugs down into tasks on the taskboard. 

This process supports the Scrum methodology as defined by the Scrum organization. Tasks support tracking remaining work only.",Scrum,,,,,,,
Azure DevOps,Sign up for DevOps account,Boards,Create an Account,As Required,,,,,
Azure DevOps,Create Project,Boards,"Create Project (Basic, SCRUM, Agile,CMMI)",As Required,,,,,
Azure DevOps,Connect to Project,Boards,Connect to Project,As Required,,,,,
Azure DevOps,Define Permissions and Access,Boards,Define Permissions and Access,As Required,,,,,
Azure DevOps,Invite Team,Boards,Invite Team,As Required,,,,,
Azure DevOps,Create Board,Boards,Create Board,As Required,,,,,
Azure DevOps,Plan and Track Work (Backlog),Boards,Plan and Track Work (Backlog),As Required,,,,,
Azure DevOps,"Maintain Board (Sprint planning, Backlog, Epics, Features, Work Items, Bug Fixes)",Boards,Maintain Board,As Required,,,,,
Azure DevOps,"Manage Process Templates (Basic, SCRUM, Agile,CMMI)",Boards,Manage Process Templates,As Required,,,,,
Azure DevOps,Integrations and Extensions,Boards,"Azure Boards Slack, Azure Boards Team App",As Required,,,,,
Azure DevOps,Trouble Shooting,Boards,Trouble Shooting,As Required,,,,,
Azure DevOps,Azure DevOps Learning,Boards,Learning; Getting started; Advanced Learning; Get Certified,As Required,,,,,
Azure DevOps,Get a Pipeline Account ,Pipelines,Create an Account,As Required,,,,,
Azure DevOps,Create a pipeline,Pipelines,Create a pipeline,As Required,,,,,
Azure DevOps,Customize a pipeline with Scripts and Tasks,Pipelines,Customize a pipeline with Scripts and Tasks,As Required,,,,,
Azure DevOps,Navigate and View Pipelines,Pipelines,Navigate and View Pipelines,As Required,,,,,
Azure DevOps,Specify jobs in the pipeline,Pipelines,organize the pipeline into jobs,As Required,,,,,
Azure DevOps,"Add stages, dependencies, & conditions",Pipelines,"Stages are the major divisions in a pipeline: ""build this app"", ""run these tests"", and ""deploy to pre-production"" are good examples of stages.",As Required,,,,,
Azure DevOps,Deployment Steps,Pipelines,Put your deployment steps in a deployment job,As Required,,,,,
Azure DevOps,Specify Conditions,Pipelines,Specify the conditions under which each job runs,As Required,,,,,
Azure DevOps,Specify Demands,Pipelines,Use demands to make sure that the capabilities your pipeline needs are present on the agents that run it.,As Required,,,,,
Azure DevOps,Define Approvals and Checks,Pipelines,Approvals and gates give you additional control over the start and completion of the deployment pipeline.,As Required,,,,,
Azure DevOps,Define a Gate,Pipelines,Release deployment control using gates,As Required,,,,,
Azure DevOps,Use approvals and gates to control your deployment,Pipelines,Use approvals and gates to control your deployment,As Required,,,,,
Azure DevOps,Specify Pipeline Triggers,Pipelines,Specify events that trigger pipeline builds and releases,As Required,,,,,
Azure DevOps,Multi-repo Checkout,Pipelines,Check out multiple repositories in your pipeline,As Required,,,,,
Azure DevOps,Pipeline Run,Pipelines,Process the Pipeline,As Required,,,,,
Azure DevOps,Deploy Apps,Pipelines,Deploy Apps to Environments,As Required,,,,,
Azure DevOps,Consume and Publish Artifacts,Pipelines,Consume and Publish Artifacts,As Required,,,,,
Azure DevOps,Ecosystems Integration,Pipelines,Azure Pipelines ecosystem support,As Required,,,,,
Azure DevOps,Manage Pipeline Infrastructure,Pipelines,Add Resources.  Set Retention Policies.  Manage Permissions and Security Roles.  Add Users to Pipelines/  Grant Version Control.  Manage Agents and Agent pools.  Set up Deployment Groups.  Integrate with 3rd Party Software,As Required,,,,,
Azure DevOps,Pipeline Management - Tasks,Pipelines,"Task Type and Group, Template Type and Usage. 

Manage Service Connections",As Required,,,,,
Azure DevOps,Troubleshooting,Pipelines,Troubleshooting Buld and Release,As Required,,,,,
Azure DevOps,Azure Boards and Github (connect),Repos,Azure Repos is a set of version control tools that you can use to manage your code,As Required,,,,,
Azure DevOps,Repo Activities,Repos,"Branch Code, Commit, Fork, Git Workflow, Notifications, Projects, Pull, Pull request, Push, Teams",As Required,,,,,
Azure DevOps,Repos  Management - Tasks,Repos,"Create Repo, Import Repo",As Required,,,,,
Azure DevOps,Create a Test Plan,Test Plans,Create a Test Plan,As Required,,,,,
Azure DevOps,Create Test Cases,Test Plans,Create Test Cases,As Required,,,,,
Azure DevOps,Run Manual Tests,Test Plans,Run Manual Tests,As Required,,,,,
Azure DevOps,Track Tests,Test Plans,Track Tests,As Required,,,,,
Azure DevOps,User Acceptance Test,Test Plans,User Acceptance Test,As Required,,,,,
Azure DevOps,Capture Test Findings,Test Plans,Capture Test Findings,As Required,,,,,
Azure DevOps,"Create Work Items (bug fix, etc)",Test Plans,"Create Work Items (bug fix, etc)",As Required,,,,,
